,datetime,close,RSI,RSI_SMA,Signal,ltp
33,2019-12-24 14:15:00,12211.25,25.04,48.45642857142857,Buy,126.5
53,2020-01-02 12:15:00,12258.45,73.32,40.27571428571429,Sell,126.44
65,2020-01-06 10:15:00,12070.7,25.32,64.22428571428571,Buy,124.71
88,2020-01-09 12:15:00,12206.55,73.72,48.73785714285714,Sell,125.43
138,2020-01-20 13:15:00,12257.85,25.94,49.23357142857143,Buy,126.45
166,2020-01-24 13:15:00,12262.0,77.5,48.67071428571428,Sell,126.39
177,2020-01-28 10:15:00,12108.75,21.82,54.84285714285714,Buy,125.25
218,2020-02-05 09:15:00,12037.9,85.34,38.80428571428571,Sell,123.05
242,2020-02-10 12:15:00,12012.25,23.71,54.517857142857146,Buy,124.12
253,2020-02-12 09:15:00,12222.4,74.36,44.93071428571428,Sell,125.43
280,2020-02-17 15:15:00,12045.8,25.27,35.597857142857144,Buy,124.39
295,2020-02-20 09:15:00,12113.3,72.52,37.97071428571429,Sell,124.97
305,2020-02-24 12:15:00,11953.65,21.99,59.41571428571428,Buy,123.56
446,2020-03-25 12:15:00,8174.35,72.0,37.00142857142857,Sell,90.95
487,2020-04-03 11:15:00,8132.5,17.88,40.41071428571428,Buy,85.35
495,2020-04-07 12:15:00,8622.45,71.27,37.442857142857136,Sell,88.73
554,2020-04-21 15:15:00,8981.45,21.53,52.34928571428571,Buy,92.39
562,2020-04-23 09:15:00,9262.4,78.89,36.59214285714285,Sell,94.4
612,2020-05-05 10:15:00,9378.0,22.52,56.91428571428572,Buy,96.88
693,2020-05-20 14:15:00,9062.3,72.15,45.62428571428571,Sell,93.1
794,2020-06-11 10:15:00,10022.95,27.74,41.36571428571428,Buy,103.9
836,2020-06-19 10:15:00,10139.8,78.33,61.392857142857146,Sell,104.2
1037,2020-07-30 14:15:00,11107.6,26.62,59.435,Buy,114.88
1060,2020-08-05 09:15:00,11212.6,79.69,34.065000000000005,Sell,115.0
1219,2020-09-04 14:15:00,11343.25,26.36,52.79714285714285,Buy,118.17
1249,2020-09-11 09:15:00,11457.65,78.48,47.37642857142857,Sell,118.1
1296,2020-09-21 14:15:00,11261.85,20.14,39.66785714285714,Buy,117.1
1327,2020-09-28 10:15:00,11195.4,73.37,39.185,Sell,115.57
1414,2020-10-15 13:15:00,11709.6,26.66,42.14785714285714,Buy,122.66
1428,2020-10-19 13:15:00,11873.85,72.87,40.39214285714286,Sell,122.89
1466,2020-10-27 09:15:00,11788.15,27.21,41.09214285714286,Buy,122.1
1502,2020-11-03 11:15:00,11817.1,72.15,45.33,Sell,122.1
1617,2020-11-26 11:15:00,12796.25,27.69,58.392857142857146,Buy,133.2
1629,2020-12-01 09:15:00,13034.55,75.33,48.67428571428572,Sell,134.65
1732,2020-12-21 14:15:00,13338.9,12.92,55.08642857142858,Buy,140.95
1746,2020-12-23 14:15:00,13605.2,78.44,30.357857142857146,Sell,140.21
1838,2021-01-18 11:15:00,14298.1,20.5,40.39857142857143,Buy,148.7
1850,2021-01-20 09:15:00,14576.85,70.73,41.04571428571428,Sell,150.05
1869,2021-01-22 14:15:00,14362.95,23.38,62.82357142857143,Buy,149.86
1904,2021-02-01 14:15:00,14269.9,71.94,38.190714285714286,Sell,146.8
1991,2021-02-18 10:15:00,15218.8,28.28,48.19714285714286,Buy,158.06
2023,2021-02-25 12:15:00,15130.9,72.1,42.87785714285714,Sell,155.4
2068,2021-03-05 15:15:00,14938.1,28.09,52.597142857142856,Buy,153.88
2141,2021-03-23 11:15:00,14764.65,70.34,53.776428571428575,Sell,151.57
2153,2021-03-25 09:15:00,14436.4,19.3,49.27214285714286,Buy,147.03
2168,2021-03-30 10:15:00,14757.9,73.15,37.28785714285714,Sell,149.27
2224,2021-04-12 10:15:00,14427.05,16.33,53.30642857142857,Buy,
2245,2021-04-16 10:15:00,14671.25,73.15,48.68714285714286,Sell,
2262,2021-04-20 13:15:00,14369.3,29.06,39.20642857142857,Buy,
2279,2021-04-26 09:15:00,14522.9,76.72,53.776428571428575,Sell,
2313,2021-04-30 15:15:00,14631.1,27.31,59.837857142857146,Buy,
2340,2021-05-06 14:15:00,14721.85,75.16,52.37857142857143,Sell,
2364,2021-05-12 10:15:00,14712.5,23.41,59.285714285714285,Buy,
2382,2021-05-17 14:15:00,14921.15,76.19,43.11571428571428,Sell,
2400,2021-05-20 11:15:00,15011.05,21.37,71.49071428571428,Buy,
2413,2021-05-24 10:15:00,15218.5,72.22,43.54928571428571,Sell,
2539,2021-06-17 10:15:00,15743.35,20.96,53.29857142857143,Buy,
2559,2021-06-22 09:15:00,15884.4,71.75,42.252857142857145,Sell,
2592,2021-06-29 13:15:00,15765.65,27.26,53.78714285714285,Buy,
2617,2021-07-05 10:15:00,15824.0,70.47,39.37642857142857,Sell,
2641,2021-07-08 13:15:00,15724.5,24.36,48.21857142857143,Buy,
2663,2021-07-13 14:15:00,15816.15,71.01,51.055,Sell,
2688,2021-07-19 11:15:00,15820.6,26.08,60.88285714285714,Buy,
2708,2021-07-23 10:15:00,15835.6,78.77,43.50214285714286,Sell,
2725,2021-07-27 13:15:00,15724.85,24.74,55.7,Buy,
2742,2021-08-02 09:15:00,15851.75,76.17,44.355,Sell,
2841,2021-08-23 10:15:00,16463.6,28.58,42.46071428571428,Buy,
2851,2021-08-24 13:15:00,16617.3,71.24,47.15714285714285,Sell,
2981,2021-09-21 10:15:00,17345.6,19.6,46.75571428571429,Buy,
2994,2021-09-23 09:15:00,17725.9,79.09,50.01642857142857,Sell,
3019,2021-09-28 13:15:00,17615.5,24.52,55.22785714285715,Buy,
3050,2021-10-05 09:15:00,17683.55,72.62,45.37285714285714,Sell,
3121,2021-10-21 09:15:00,18245.5,27.63,60.99285714285714,Buy,
3149,2021-10-27 09:15:00,18298.25,76.45,53.55714285714286,Sell,
3161,2021-10-28 14:15:00,17853.65,12.27,51.00714285714286,Buy,
3181,2021-11-02 13:15:00,17889.05,80.89,42.77,Sell,
3243,2021-11-17 09:15:00,17974.75,29.91,61.77285714285715,Buy,
3318,2021-12-02 14:15:00,17404.1,82.19,57.00857142857143,Sell,
3330,2021-12-06 12:15:00,17059.45,21.96,56.80428571428571,Buy,
3343,2021-12-08 11:15:00,17423.05,73.03,38.79642857142857,Sell,
3377,2021-12-15 10:15:00,17224.9,19.6,36.76571428571429,Buy,
3414,2021-12-22 12:15:00,16875.05,77.25,44.90285714285714,Sell,
3552,2022-01-19 10:15:00,17976.15,19.52,52.237857142857145,Buy,
3602,2022-01-31 11:15:00,17386.9,73.12,54.870000000000005,Sell,
3629,2022-02-04 10:15:00,17568.15,29.43,57.16214285714285,Buy,
3653,2022-02-10 12:15:00,17602.35,74.8,38.49357142857143,Sell,
3666,2022-02-14 11:15:00,17014.55,15.35,54.66,Buy,
3678,2022-02-16 09:15:00,17332.35,70.19,28.840714285714284,Sell,
3721,2022-02-24 10:15:00,16579.1,29.86,39.07571428571429,Buy,
3739,2022-02-28 14:15:00,16798.25,72.72,42.475,Sell,
3754,2022-03-03 15:15:00,16498.05,27.13,43.21214285714285,Buy,
3779,2022-03-09 12:15:00,16317.85,72.85,41.90642857142857,Sell,
3833,2022-03-22 10:15:00,17061.55,29.63,68.86428571428571,Buy,
3846,2022-03-24 09:15:00,17254.9,70.94,52.055,Sell,
3855,2022-03-25 11:15:00,17125.9,28.56,49.08571428571429,Buy,
3868,2022-04-01 10:15:00,17548.55,70.92,42.955,Sell,
3894,2022-04-06 15:15:00,17807.65,24.78,52.97928571428571,Buy,
3956,2022-04-21 14:15:00,17388.75,89.01,52.38928571428572,Sell,
3967,2022-04-25 11:15:00,16967.6,19.43,56.33142857142857,Buy,
3994,2022-04-29 10:15:00,17331.9,70.39,55.83785714285714,Sell,
4009,2022-05-04 11:15:00,16908.4,20.62,43.09285714285715,Buy,
4075,2022-05-17 14:15:00,16248.1,78.55,53.64214285714286,Sell,
4088,2022-05-19 13:15:00,15815.4,19.75,63.631428571428565,Buy,
4098,2022-05-23 09:15:00,16334.0,73.75,38.902142857142856,Sell,
4114,2022-05-25 11:15:00,16076.65,20.84,50.10642857142857,Buy,
4131,2022-05-27 14:15:00,16346.2,75.01,49.46785714285714,Sell,
4176,2022-06-07 10:15:00,16374.0,21.74,49.98857142857143,Buy,
4232,2022-06-21 09:15:00,15556.3,75.75,29.14928571428572,Sell,
4348,2022-07-13 13:15:00,15981.8,27.9,41.555,Buy,
4367,2022-07-18 11:15:00,16216.2,73.02,48.755,Sell,
4412,2022-07-26 14:15:00,16482.7,25.42,47.63928571428571,Buy,170.55
4421,2022-07-28 09:15:00,16819.95,81.46,42.33357142857143,Sell,172.6
4524,2022-08-19 14:15:00,17765.0,26.15,55.98571428571429,Buy,183.3
4548,2022-08-25 10:15:00,17676.85,75.62,47.36714285714286,Sell,182.96
4562,2022-08-29 10:15:00,17285.1,26.58,50.60285714285715,Buy,178.98
4575,2022-09-01 09:15:00,17660.75,73.49,44.43857142857143,Sell,181.3
4588,2022-09-02 15:15:00,17539.45,29.09,55.325,Buy,181.42
4617,2022-09-09 09:15:00,17894.3,80.09,53.58142857142857,Sell,184.54
4655,2022-09-16 12:15:00,17600.4,16.23,37.77785714285714,Buy,182.73
4669,2022-09-20 12:15:00,17913.25,75.7,36.82928571428572,Sell,184.45
4682,2022-09-22 11:15:00,17558.3,23.99,56.99714285714286,Buy,182.2
4743,2022-10-06 09:15:00,17401.25,80.26,61.535,Sell,179.3
4758,2022-10-10 10:15:00,17125.75,25.07,59.58928571428572,Buy,176.49
4785,2022-10-14 09:15:00,17298.7,70.94,44.37714285714286,Sell,178.88
4878,2022-11-03 15:15:00,18052.7,28.44,48.169285714285714,Buy,186.43
4888,2022-11-07 11:15:00,18143.45,78.02,46.326428571428565,Sell,187.25
4906,2022-11-10 15:15:00,18028.2,26.18,51.51714285714286,Buy,186.29
4914,2022-11-14 09:15:00,18351.2,89.9,51.65785714285714,Sell,189.49
4944,2022-11-18 11:15:00,18245.3,29.77,51.28857142857142,Buy,188.55
4963,2022-11-23 09:15:00,18270.1,72.17,40.71214285714286,Sell,188.88
5020,2022-12-05 10:15:00,18638.4,25.47,55.81928571428572,Buy,192.11
5068,2022-12-14 09:15:00,18663.35,77.07,50.457142857142856,Sell,193.25
5081,2022-12-15 15:15:00,18414.9,29.06,59.89,Buy,190.3
5135,2022-12-27 13:15:00,18122.2,84.68,45.30857142857143,Sell,186.96
5183,2023-01-05 12:15:00,17949.15,28.94,41.94857142857144,Buy,186.32
5236,2023-01-17 09:15:00,18004.9,72.87,57.53357142857142,Sell,185.37
5278,2023-01-25 15:15:00,17891.95,21.11,41.71214285714286,Buy,185.45
5303,2023-02-01 12:15:00,17915.55,77.51,51.612142857142864,Sell,183.96
5392,2023-02-20 10:15:00,17964.75,24.2,54.06214285714286,Buy,185.79
5461,2023-03-06 09:15:00,17775.15,84.83,60.53357142857143,Sell,183.19
5483,2023-03-10 10:15:00,17418.2,27.62,44.81142857142857,Buy,180.26
5538,2023-03-22 09:15:00,17140.8,74.09,51.00357142857143,Sell,177.97
5557,2023-03-24 14:15:00,16954.5,19.85,50.175714285714285,Buy,176.41
5580,2023-03-31 09:15:00,17256.9,71.08,48.582142857142856,Sell,178.25
5785,2023-05-17 11:15:00,18147.7,13.97,52.69571428571429,Buy,189.03
